device_address,device_label,device_vendor_name,device_vendor_model_name,device_description,line_number,display_name,user_id,sip_transport
a5:ec:f4:21:92:8f,Pablo,fanvil,x4u,"Ratione vero ut ut.",2,Maximillian,391,tcp
b4:f5:71:af:3b:22,Sierra,grandstream,gac2500,"Minima eum culpa maxime voluptas tempore quidem voluptatem quo.",2,Alba,832,tcp
c4:c5:98:5d:9a:c2,Erich,fanvil,x4u,"Voluptatibus est sit dolorum sit velit atque suscipit. Est voluptatem possimus vel et fugiat in ut.",2,Raymond,873,udp
9f:1f:11:f6:80:7f,Jamie,grandstream,gxp3240,"Debitis ut numquam rerum incidunt error. Atque eos voluptas esse rerum tenetur.",2,Ada,399,tcp
17:6d:ce:d3:68:92,Trenton,fanvil,x4sg,"Ipsam placeat quia voluptatem.",1,Katlyn,376,tcp
bf:d5:8d:2f:d0:31,Concepcion,grandstream,ht704,"Tenetur odio est vel incidunt occaecati laboriosam sit.",2,Jazmyne,257,tcp
e1:d0:9c:39:5f:8a,Donnell,fanvil,x1sg,"Sunt nihil harum iste sit sunt amet. Tenetur commodi voluptas sapiente cumque voluptatum.",4,Amelie,168,tcp
34:ee:d3:71:1a:92,Maximillian,grandstream,wave,"Ut quas atque molestiae sapiente. Quaerat qui nam sequi totam molestiae error.",3,Desiree,681,udp
53:a2:91:99:cc:d3,Alana,grandstream,grp2612w,"Voluptate architecto quibusdam non voluptate. Nemo a blanditiis corporis adipisci nulla.",4,Alba,624,tcp
5b:10:ec:f2:cd:61,Caden,grandstream,wave,"Ab veritatis nostrum dicta et nostrum.",2,Zechariah,215,udp
10:f1:43:b3:e4:ae,Kaleb,grandstream,gxw40xx,"Earum magnam doloribus earum iure ab eum aliquam.",1,Savion,276,tcp
a0:85:be:bd:ec:9f,Lucy,grandstream,wp810,"Impedit porro et odio sit aliquid suscipit. Sed incidunt unde saepe ex.",3,Evert,404,udp
53:93:25:d8:f5:1d,Ole,fanvil,x3sp,"Asperiores sapiente iusto alias saepe eum quam accusamus.",2,Elyse,296,udp
43:95:6d:b3:a5:d5,Marilie,grandstream,gxp17xx,"Et nam quia consequuntur. Dolores vitae odio eveniet reiciendis id.",2,Kory,684,tcp
71:a2:e2:29:d8:9a,Sadie,fanvil,x4,"Et sed quibusdam quisquam quia numquam quaerat.",4,Werner,586,udp
4f:06:72:33:f7:5e,Trycia,fanvil,h5,"Enim suscipit sed sed dolorem optio.",4,Nicholas,869,tcp
28:c1:ea:5c:e5:44,Christophe,fanvil,x4sg,"In velit magni ratione tempora.",3,Brown,177,tcp
e9:15:4e:6a:45:5e,Oswaldo,fanvil,x3sw,"Rerum officiis rerum ipsam dignissimos perspiciatis.",3,Christ,969,udp
2a:61:54:b4:17:76,Brendan,fanvil,x4g,"Repellat voluptate doloremque harum accusamus occaecati a. Magnam sapiente id temporibus minus.",2,Adolfo,717,tcp
52:88:f2:35:3c:09,Orin,fanvil,x1s,"At alias dolorem est nisi dolores rerum laudantium. Ut molestiae quae omnis.",2,Mertie,225,tcp
